AAPL
MSFT
AMZN
GOOGL
GOOG
TSLA
NVDA
BRK.B
FB
JPM
UNH
JNJ
PG
V
HD
BAC
XOM
MA
DIS
PFE
CVX
ABBV
KO
AVGO
CSCO
PEP
COST
WFC
VZ
ADBE
CMCSA
ABT
TMO
ACN
WMT
CRM
INTC
MRK
LLY
MCD
QCOM
AMD
NKE
PM
NFLX
DHR
T
UNP
LOW
UPS
LIN
TXN
BMY
NEE
RTX
INTU
MS
MDT
CVS
SCHW
C
HON
AMGN
PYPL
AMAT
AXP
ORCL
COP
GS
BA
NOW
IBM
ANTM
SBUX
BLK
GE
DE
BKNG
PLD
CAT
MU
AMT
ISRG
TGT
LMT
MO
MDLZ
SPGI
ZTS
CB
ADI
MMM
CME
PNC
ADP
SYK
TFC
LRCX
TJX
CSX
USB
GILD
MMC
BDX
DUK
CI
CHTR
TMUS
GM
CCI
EL
ICE
F
SO
CL
EW
NSC
REGN
COF
EOG
SHW
D
FCX
ATVI
ITW
EQIX
AON
PGR
BSX
ETN
HCA
NOC
FIS
VRTX
SLB
FISV
KLAC
EMR
WM
FDX
HUM
NEM
APD
PSA
MCO
PXD
MRNA
AIG
MET
ILMN
NXPI
GD
ADSK
MAR
CNC
MPC
TEL
SPG
JCI
DG
ROP
DOW
ORLY
CTSH
APH
SNPS
ECL
KMB
MSCI
BK
LHX
IQV
PRU
SYY
INFO
SRE
ADM
AEP
HLT
CMG
TRV
MCK
FTNT
HPQ
IDXX
DD
BAX
GIS
EXC
GPN
AZO
MCHP
A
PH
DLR
AFL
APTV
CARR
CDNS
PSX
O
CTVA
DXCM
PAYX
EA
ALGN
MSI
YUM
DFS
SIVB
WMB
STZ
TT
WELL
XEL
VLO
PPG
OXY
EBAY
ALL
DVN
NUE
IFF
TDG
STT
RMD
AMP
WBA
CBRE
FITB
AVB
ROST
MTD
PEG
KMI
TROW
OTIS
PCAR
SBAC
CTAS
GLW
MTCH
AJG
CMI
BIIB
FRC
ROK
KR
VRSK
EXPE
MNST
DLTR
KEYS
BLL
AME
FAST
HSY
WY
HAL
ANET
EQR
ED
WST
ES
TWTR
WEC
OKE
WTW
DAL
TSN
LUV
ODFL
CERN
ANSS
DHI
AWK
KHC
CPRT
SWK
ARE
LYB
HES
EFX
BKR
LH
EXR
EPAM
CDW
ZBH
VMC
NTRS
LEN
RSG
MKC
TSCO
HIG
KEY
MLM
SYF
IT
CHD
MAA
MTB
HBAN
ALB
DTE
DOV
EIX
RF
URI
FTV
ZBRA
CFG
SWKS
HPE
PKI
FE
STX
STE
BBY
FANG
AEE
IR
PPL
ABC
ETR
VTR
SBNY
GWW
ESS
NTAP
VRSN
ULTA
RJF
ENPH
NDAQ
DRE
MPWR
TDY
FLT
WAT
COO
VFC
GNRC
TER
CINF
TTWO
RCL
DRI
CTRA
GPC
PFG
AMCR
WAB
CMS
OMC
IP
EXPD
CLX
VTRS
CCL
POOL
PARA
HOLX
TYL
KMX
BXP
WDC
MRO
MGM
CAG
CZR
PEAK
TRMB
MOS
GRMN
CE
CNP
ETSY
AKAM
NVR
CTLT
EMN
BR
K
CF
NLOK
XYL
DPZ
JBHT
UDR
DGX
PAYC
TXT
CAH
J
LVS
UAL
TECH
FDS
BRO
LYV
FMC
AVY
SJM
TFX
QRVO
CEG
CRL
KIM
PWR
IEX
MAS
AES
MKTX
IPG
LNT
AAP
PKG
EVRG
ATO
ABMD
SEDG
FOXA
BBWI
HST
RHI
HWM
HRL
CMA
LKQ
LDOS
INCY
HAS
WHR
IRM
JKHY
BIO
CBOE
CTXS
WRB
L
NDSN
PHM
WRK
FBHS
LNC
XRAY
RE
FFIV
BF.B
APA
CHRW
AAL
HSIC
SNA
PTC
ZION
JNPR
TPR
NI
BWA
ALLE
UHS
REG
SEE
WYNN
NWL
GL
AIZ
LW
PNR
AOS
NRG
CDAY
OGN
TAP
CPB
LUMN
DXC
NWSA
PBCT
DISCK
FRT
BEN
MHK
PENN
NCLH
DVA
PNW
IVZ
DISH
HII
ALK
VNO
PVH
ROL
NLSN
RL
FOX
IPGP
DISCA
UAA
UA
NWS
