FLT
AMD
ANSS
PAYC
SNPS
INTU
BR
ADI
CDNS
AKAM
NXPI
MCHP
CTXS
ACN
TXN
MSFT
PAYX
FIS
MU
ADP
IBM
GPN
AVGO
MA
PYPL
ADSK
ORCL
V
FISV
KLAC
TYL
VRSN
TDY
INTC
CRM
TER
ADBE
QCOM
NOW
NVDA
STX
KEYS
SWKS
CTSH
GLW
JNPR
MPWR
CSCO
PTC
QRVO
APH
AAPL
JKHY
LRCX
TRMB
TEL
CDW
MSI
FFIV
IT
HPE
AMAT
FTNT
ZBRA
HPQ
NLOK
ANET
EPAM
WDC
SEDG
ENPH
NTAP
