CARR
GE
LHX
JBHT
GD
HII
CHRW
INFO
HON
RTX
URI
IR
EMR
LMT
OTIS
FTV
J
NOC
UPS
PCAR
JCI
ROK
ROP
FAST
RSG
IEX
GWW
EFX
CAT
CTAS
ITW
HWM
TDG
ROL
ODFL
CPRT
ALLE
DOV
WM
MMM
AME
XYL
LUV
TT
ETN
CSX
PWR
NLSN
VRSK
RHI
PH
ALK
CMI
SWK
UNP
FDX
TXT
DAL
WAB
UAL
AOS
EXPD
AAL
PNR
LDOS
FBHS
MAS
SNA
DE
GNRC
NSC
BA
