DGX
A
CTLT
INCY
LH
ZBH
IQV
PKI
TECH
CRL
CI
WAT
BMY
HOLX
COO
MRK
CVS
LLY
CERN
STE
BIIB
GILD
AMGN
MRNA
ABC
BAX
UNH
MTD
CAH
ALGN
HSIC
TMO
BSX
ABBV
TFX
HUM
BIO
PFE
OGN
BDX
IDXX
VTRS
XRAY
DHR
CNC
ZTS
MCK
RMD
MDT
ANTM
UHS
ISRG
EW
VRTX
SYK
DXCM
DVA
JNJ
ILMN
REGN
HCA
ABMD
ABT
WST
